Id,Group
1003024424102516,926692934070184
1008791550184877,1577416719185957
1011455563477193,1577416719185957
1012629546487297,926692934070184
1021410969135182,926692934070184
1022804422165990,926692934070184
1028749811708800,1577416719185957
1033415091051818,430535047789887
1033664047890280,1577416719185957
1036378290980174,430535047789887
1039219337166442,1577416719185957
1045340390079678,430535047789887
1045938759940561,430535047789887
1047312683184142,926692934070184
1047326726547523,430535047789887
1050682606250246,926692934070184
1052077736122035,926692934070184
1052712752596166,CasasInmueblesVentaRentaenTonala
1053262622579102,926692934070184
1053920699152777,430535047789887
1056688385750916,1577416719185957
1057664518813301,1577416719185957
1060402331941213,926692934070184
1060586021871327,926692934070184
1061162734988325,430535047789887
1062342078342308,1577416719185957
1063855814741982,1577416719185957
1066744067993890,430535047789887
1066813317698592,250866605349037
1066813317698592,723834411098468
1068187597712531,850414421695243
1070420987607819,966904140057606
1076851976650921,1577416719185957
1077219250129034,926692934070184
1080042536355549,430535047789887
1082607306257646,926692934070184
1082893929413721,926692934070184
1084994435861629,430535047789887
1085593469265243,430535047789887
1086754792515952,430535047789887
1088690962152265,1577416719185957
1089980822415450,430535047789887
1092738688825134,926692934070184
1094426528398211,430535047789887
1094489761708640,1577416719185957
1094571275056457,430535047789887
1095477705228268,926692934070184
1096266941818468,926692934070184
1096706078030050,926692934070184
1097897134579217,926692934070184
1098502111328364,430535047789887
1100171534694483,418378306327844
1101756917662384,430535047789887
1104732687198266,926692934070184
1106444417403900,1504083032972281
1107016630666835,926692934070184
1107657693975284,1577416719185957
1115842363128607,430535047789887
1124707021885013,926692934070184
1126406798803663,430535047789887
1126919625340658,430535047789887
1129389971360563,1577416719185957
1142204313444985,430535047789887
1164093837887464,850414421695243
1169822260654631,1577416719185957
1170833307654781,1577416719185957
119199141225773,124943894894711
1241048477077860,1577416719185957
1244336980059977,1577416719185957
1276913726330262,926692934070184
1287055378675428,1577416719185957
1288268711881670,926692934070184
1297269030946866,1577416719185957
1298734500825806,926692934070184
1300004780718023,926692934070184
1306956470704972,430535047789887
1310266342963306,1577416719185957
1311309606936114,430535047789887
1318985958769099,250866605349037
1318985958769099,430535047789887
1318985958769099,966904140057606
1326937458015912,926692934070184
1329527621779021,430535047789887
1331690394405364,926692934070184
1336812280303992,1577416719185957
1340908463227740,926692934070184
1349015175981099,250866605349037
1349015175981099,430535047789887
1349015175981099,723834411098468
1351394202432443,430535047789887
1352853502037455,850414421695243
1354822665122063,926692934070184
1356918995196633,926692934070184
1357553678484032,430535047789887
1359732651316821,1577416719185957
1364983444155518,430535047789887
1373045786658175,1577416719185957
1377023439577263,2982751505128088
1382331429034824,CasasInmueblesVentaRentaenTonala
1389954058619331,430535047789887
1392656061661409,1577416719185957
1396662714263872,1577416719185957
1397129410902959,1577416719185957
1398069254118762,CasasInmueblesVentaRentaenTlaquepaque
1406447226751275,1577416719185957
1406805656899951,926692934070184
1408088326795313,926692934070184
1408761499704120,1577416719185957
1409734226615202,430535047789887
1409773066240028,1577416719185957
1412038489521089,430535047789887
1414102449456468,850414421695243
1419130585701140,926692934070184
1422761118316262,430535047789887
1431180390793696,1577416719185957
143136135550975,1577416719185957
1436174150663022,926692934070184
1436242770571989,926692934070184
1444687946391262,1577416719185957
1446364719615877,926692934070184
1450195428881159,926692934070184
1453311391902653,1577416719185957
1477023792868702,1577416719185957
1497476444432814,926692934070184
1501225350704175,124943894894711
1507215203163153,1577416719185957
1508124413313253,926692934070184
1522058575193737,926692934070184
1524934468273314,1577416719185957
1527002904766080,926692934070184
1534102287346870,926692934070184
1541472973254304,850414421695243
1549943479181227,430535047789887
1555894931838266,1577416719185957
1561858827895676,926692934070184
1565819580888052,430535047789887
1566199284148328,926692934070184
1598203480987274,1577416719185957
1599112264158643,1577416719185957
1605538363608489,926692934070184
1622059315232339,430535047789887
1626815881458820,1577416719185957
1627236791138691,1577416719185957
1643884089472359,926692934070184
164846063385861,1577416719185957
1658148681380656,1577416719185957
1670843776740033,124943894894711
168079993016793,926692934070184
1699747773862042,1577416719185957
1700571800424972,430535047789887
1716506872107044,926692934070184
1720462868419671,1577416719185957
1727173304462091,1577416719185957
1733789773767562,926692934070184
1734831290332889,430535047789887
173522952500264,1577416719185957
1741940959618246,430535047789887
1744355206050786,430535047789887
1748624305621151,926692934070184
175272385612422,1577416719185957
1759131604557421,1577416719185957
1770550836758451,430535047789887
1778302585926165,1577416719185957
1785487301970889,926692934070184
1785753231890296,101428536996053
1797334690745141,1577416719185957
179887791801029,926692934070184
182059388253148,926692934070184
1832245413861542,926692934070184
1848113045661325,430535047789887
187268934462408,1577416719185957
1949182502146528,926692934070184
1962905910748787,926692934070184
197527500110684,850414421695243
201934776292110,926692934070184
203636869490616,430535047789887
2039130623121212,430535047789887
204296076011340,850414421695243
2059251897786550,926692934070184
208803662268040,1577416719185957
208917038962244,430535047789887
2091914074504357,430535047789887
2092109384477424,430535047789887
2095545024126922,1577416719185957
2105272039819880,1577416719185957
2116547602009482,1577416719185957
213074178440852,430535047789887
2133333707013667,430535047789887
2135274083517777,430535047789887
223477094109192,926692934070184
224008403895933,1577416719185957
224129560712155,1577416719185957
2273035856237415,723834411098468
232432176472441,430535047789887
243734795152540,430535047789887
24393910550255467,926692934070184
24496795919935163,926692934070184
24629043513375615,850414421695243
246945988380502,1577416719185957
248540244901538,1577416719185957
249836757922318,926692934070184
249982287571900,723834411098468
251215421141333,1577416719185957
25196998666565673,926692934070184
251990547677266,1577416719185957
2561465900701924,101428536996053
256201143951403,430535047789887
257880077053839,430535047789887
2585881361562720,926692934070184
260744176998899,1577416719185957
260746630342385,926692934070184
263060086527914,926692934070184
263418946747185,926692934070184
264145559982246,926692934070184
2648388478646190,926692934070184
2656376297870457,1577416719185957
266337262825827,430535047789887
2679870072160076,430535047789887
269701182766286,926692934070184
270674106026559,430535047789887
270708222663694,1577416719185957
273443722056214,1577416719185957
2740906479391378,430535047789887
275544968844451,926692934070184
276684338362214,723834411098468
281238024949096,966904140057606
281655778203237,1577416719185957
284178394212063,1577416719185957
287015754343834,926692934070184
293682473071178,1577416719185957
293976566941937,1577416719185957
294060219721435,926692934070184
294259803435473,1504083032972281
294332163606878,430535047789887
295075803527818,430535047789887
298139885963502,430535047789887
298188843095286,1577416719185957
298562716494545,926692934070184
298608736483432,926692934070184
299250426271593,1577416719185957
301728852783081,1577416719185957
301730406162631,430535047789887
302445589459734,430535047789887
3039520652852250,430535047789887
304158875321951,430535047789887
304739848566075,430535047789887
3088506124615874,430535047789887
309911058537306,1200120893397632
309911058537306,1212797438805604
311454364538764,1577416719185957
314742734870278,966904140057606
315208954610756,250866605349037
315208954610756,723834411098468
315208954610756,CasasInmueblesVentaRentaenTlaquepaque
317248907919815,1577416719185957
317833294367016,926692934070184
318285627839193,1577416719185957
318450801082822,926692934070184
3184835028315183,926692934070184
318702127583668,926692934070184
319277291005994,926692934070184
320971900831815,430535047789887
3223721867763278,926692934070184
322388733953751,430535047789887
322882333804653,926692934070184
323739490527197,1577416719185957
323905640508950,1212797438805604
324545127019297,1577416719185957
325044243744242,926692934070184
325222057132388,430535047789887
325237510285356,926692934070184
325441306931885,1577416719185957
327388983545617,850414421695243
328347606766800,430535047789887
328438516595399,1212797438805604
328505326471911,1577416719185957
329173903339967,430535047789887
330270296604134,1577416719185957
332168159770011,1577416719185957
334156519497333,926692934070184
337246495745488,966904140057606
337381702276000,1577416719185957
337556315871136,926692934070184
337832549182396,CasasInmueblesVentaRentaenTonala
338963912193691,1577416719185957
340919935222495,926692934070184
341423955412731,430535047789887
341671335383310,430535047789887
341950261911368,430535047789887
344015481562890,926692934070184
3468936590103397,430535047789887
347797581333378,926692934070184
3509084179344138,430535047789887
351474604191931,430535047789887
355576350413973,430535047789887
357228690046297,926692934070184
3589492284664833,926692934070184
359092336712835,1577416719185957
359379096703166,430535047789887
3596106644003665,1577416719185957
3597805890496112,850414421695243
360095303373831,430535047789887
360095303373831,966904140057606
360546026554507,926692934070184
3610223975958152,430535047789887
361236963154584,926692934070184
361362646508863,850414421695243
362024889808362,430535047789887
3623549407923279,926692934070184
3634894800094800,926692934070184
363592422868865,124943894894711
364029806112316,1577416719185957
3646682468988405,850414421695243
3650688251921552,1577416719185957
365561055947836,1577416719185957
3663506813970900,1577416719185957
3671895133032589,430535047789887
3712829962265305,430535047789887
372153651874055,430535047789887
372340701840734,430535047789887
372454645320041,430535047789887
372903188602700,926692934070184
373052368434388,926692934070184
373179018537881,430535047789887
374374084934223,926692934070184
374524728582287,430535047789887
375893928429381,430535047789887
376433931598739,926692934070184
376934318142963,CasasInmueblesVentaRentaenTlaquepaque
377655661444501,430535047789887
377883034772161,926692934070184
378970147970957,1577416719185957
379459021190921,926692934070184
380130551150992,926692934070184
380358741159897,850414421695243
380788501050781,926692934070184
381875474236596,926692934070184
382670310984774,1577416719185957
382889547559832,430535047789887
383606454067736,1577416719185957
393740216408656,1577416719185957
397099919414092,850414421695243
403986578624260,430535047789887
408715884814359,1577416719185957
420563946986957,926692934070184
4566887560203022,1577416719185957
563095145980259,926692934070184
568376228812658,926692934070184
581317827492450,304868670850773
590896783163871,1577416719185957
613026390876510,926692934070184
613053600913847,850414421695243
620114940164792,1577416719185957
630986789025601,926692934070184
636045968731301,926692934070184
638268018497608,926692934070184
650230943990982,926692934070184
653173440351595,926692934070184
654777080156465,926692934070184
661766689493662,1577416719185957
663410669108047,1577416719185957
666693355678225,1577416719185957
667385821956423,430535047789887
672215845024458,926692934070184
674317494682922,430535047789887
676995154625642,430535047789887
678638784444228,430535047789887
6852541884840246,1577416719185957
685416103655829,1577416719185957
6897253276978139,1577416719185957
6900596759988643,1577416719185957
695554549015237,1577416719185957
702050485027600,1577416719185957
7044690178899372,430535047789887
7045395518860943,430535047789887
704644554929565,1577416719185957
706461798260283,926692934070184
706987038071217,850414421695243
707768077670661,926692934070184
7083112481708783,966904140057606
7087544404644689,926692934070184
709008511202662,1577416719185957
709640941098488,1577416719185957
7113778172020998,2982751505128088
713682144006390,1577416719185957
714258267323277,1577416719185957
715656940455970,1577416719185957
7158143350921276,430535047789887
718486210375737,926692934070184
7198021690262895,430535047789887
720381586698691,1577416719185957
721574636568077,CasasInmueblesVentaRentaenTonala
7228336210531778,1577416719185957
7264686690228780,850414421695243
727918158779575,926692934070184
727946299272443,1577416719185957
729483915735330,1212797438805604
729649749194416,926692934070184
730760835604873,430535047789887
730795525611639,926692934070184
731443892203305,1577416719185957
733313398373021,430535047789887
733677845348415,1577416719185957
734748861888376,1577416719185957
737176184422059,1577416719185957
741219638041184,1577416719185957
741354051233678,430535047789887
743456957675063,2982751505128088
746702464023484,430535047789887
748022180537553,926692934070184
7536451206373284,430535047789887
755702153038598,926692934070184
763642662255820,430535047789887
765057695450510,926692934070184
773549401480349,430535047789887
789336472958771,926692934070184
789769609220934,124943894894711
800097518472723,1577416719185957
807620957745949,926692934070184
809823160913447,850414421695243
815052450386367,430535047789887
823702099527658,430535047789887
839620271195972,1577416719185957
854541189771517,1577416719185957
859396265656944,418378306327844
860612205591143,1577416719185957
860765522212215,1577416719185957
860938285644309,926692934070184
863079812120301,1577416719185957
869430291850533,850414421695243
871597027939511,1577416719185957
871607934429400,430535047789887
873083200886503,1577416719185957
873407167570234,926692934070184
874704794238266,124943894894711
875161380526568,1577416719185957
875361190960111,1577416719185957
879406990259209,926692934070184
880206413581711,430535047789887
880908250110106,1577416719185957
882843676894895,926692934070184
886790766325317,926692934070184
888765679504200,1577416719185957
891389512545075,1180084502186534
891624265897846,1577416719185957
892723862545227,430535047789887
893274925664386,926692934070184
897158561763107,1577416719185957
899799305083924,850414421695243
902149764479490,430535047789887
902730884899325,926692934070184
902780230891456,926692934070184
904252911278526,430535047789887
904284451094982,430535047789887
904440671201760,850414421695243
906317257606592,430535047789887
909617140679862,926692934070184
910715274004243,926692934070184
912535197129006,926692934070184
914471876501101,1577416719185957
915338076708147,1577416719185957
918495433228042,CasasInmueblesVentaRentaenTonala
920022195632782,430535047789887
921443126214812,430535047789887
923055742496133,430535047789887
924705391874311,101428536996053
929747954774898,430535047789887
938084014314141,966904140057606
940143747624958,1577416719185957
952865146171028,430535047789887
953766546295334,926692934070184
980399449726607,1577416719185957
989586848812678,1577416719185957
997977241292963,1577416719185957
